Name,Unknown #1,Unknown #2,Type #1,Type #2,Level,Health,MP,SP,Vitality,Agility,Speed,Mentality,Stamina,IP Stun Duration,IP Cancel Stun Duration,Still Evasion Rate,Moving Evasion Rate,Fire Resist,Wind Resist,Earth Resist,Lightning Resist,Blizzard Resist,Ailments,Knockback Resist,Status Recovery Time,TDMG,Unknown #3,THEAL,Size,Unknown #4,Unknown #5,No Run Flag,Unknown #6,Experience,Skill Coins,Magic Coins,Gold Coins,Item #1,Item #2,Item #1 Chance,Item #2 Chance,Unknown #7,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance
Regenerator,0,4,Unknown #31,Valmar,40,13000,600,0,999,174,150,999,192,10,30,100,0,0,0,3,-3,0,255,4121,240,540,0,500,60,200,83,True,0,0,0,0,0,,,0,0,0,1,30,20,50,0,0,0,50,0,50,0,0,0,0,20,0,80,0,0,0,100,0,0,0,0,0,0,0,0,0
Melfice,4,3,Unknown #29,Valmar,40,20000,1000,1100,318,250,450,195,96,10,30,100,0,0,0,0,0,0,254,25,120,480,0,500,80,200,83,True,0,1500,3600,1800,0,,Soul of Asura,0,100,0,1,50,25,15,0,10,0,0,50,30,0,20,0,0,20,15,25,40,0,25,40,20,10,5,0,0,0,0,0,0
Melfice,4,3,Unknown #29,Valmar,40,19000,840,950,999,316,150,999,192,10,30,100,0,5,-5,0,0,0,255,4121,120,480,0,500,80,200,83,True,0,0,0,0,0,,,0,0,0,1,30,70,0,0,0,0,10,90,0,0,0,0,0,50,0,0,50,0,0,0,50,20,30,0,0,0,0,0,0
Right Tentacle,0,5,Unknown #35,Valmar,44,23000,0,0,330,300,0,200,192,15,30,0,0,6,0,-6,0,0,152,0,360,240,0,500,300,200,0,True,0,0,0,0,0,,Angel Circle,0,100,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valmar's Body,5,3,Unknown #34,Valmar,44,35000,1500,1500,330,250,0,200,192,10,50,0,0,-2,0,0,3,0,254,0,300,300,0,500,300,200,0,True,0,1600,6000,6000,0,,Relief Tag,0,100,0,1,60,10,20,10,0,0,40,15,5,10,30,0,20,30,40,10,0,0,25,35,20,10,10,0,0,0,0,0,0
Left Eye,0,4,Unknown #41,Valmar,45,20000,800,0,324,150,100,175,192,10,30,0,0,0,0,6,0,-4,168,30,240,300,0,500,90,200,0,True,0,0,0,0,0,,Goddess Hi-Heels,0,100,0,1,20,40,15,25,0,0,0,60,30,10,0,0,20,50,15,15,0,0,0,50,10,10,30,0,0,0,0,0,0
Left Eye,0,4,Unknown #41,Valmar,54,20000,800,0,273,150,100,176,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,True,0,0,0,0,0,,Mystic Potion,0,100,0,1,20,40,25,15,0,0,0,60,30,10,0,0,20,40,25,15,0,0,0,35,20,15,30,0,0,0,0,0,0
Right Eye,0,4,Unknown #40,Valmar,45,20000,800,0,293,250,100,155,192,10,30,0,0,-4,0,7,0,0,168,30,240,300,0,500,90,200,0,True,0,0,0,0,4500,,,0,0,0,1,20,25,10,15,30,0,0,25,30,25,20,0,50,15,20,15,0,0,0,0,0,30,70,0,0,0,0,0,0
Right Eye,0,4,Unknown #40,Valmar,54,20000,800,0,338,250,100,155,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,True,0,0,0,0,0,,Potion of Azure,0,100,0,1,20,10,25,15,30,0,30,10,40,20,0,0,15,5,20,10,50,0,20,0,30,0,50,0,0,0,0,0,0
Valmar's Heart,6,3,Unknown #39,Valmar,45,25000,0,1000,337,250,100,205,192,10,50,0,0,0,-4,5,0,2,254,30,240,360,0,500,220,200,0,True,0,1800,8000,8000,0,,Holy Clothes,0,100,0,1,35,5,10,50,0,0,30,20,50,0,0,0,50,15,35,0,0,0,15,50,35,0,0,0,0,0,0,0,0
Valmar's Heart,6,3,Unknown #39,Valmar,54,25000,560,1200,308,250,100,215,192,10,20,0,0,10,10,10,10,10,255,30,120,360,0,500,220,200,0,True,0,3000,4000,1000,0,,Tenma's Dress,0,100,0,1,40,10,30,20,0,0,30,10,25,35,0,0,40,15,35,10,0,0,20,25,40,15,0,0,0,0,0,0,0
Bit,0,5,Unknown #45,Valmar,48,6000,0,280,251,250,100,154,192,15,50,15,0,0,0,5,0,0,16,10,480,120,0,500,60,200,0,True,0,0,0,0,900,,,0,0,0,1,70,30,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0,70,30,0,0,0,0,0,0,0,0,0
Egg Guardian,7,2,Unknown #44,Valmar,48,40000,620,720,306,350,0,203,0,10,30,0,0,3,6,-6,0,0,246,0,180,420,0,500,120,200,0,True,0,2000,10000,10000,0,,Angel's Robe,0,100,0,1,0,35,20,15,30,0,50,30,0,20,0,0,0,25,15,60,0,0,0,50,30,20,0,0,0,0,0,0,0
Middle Head,0,4,Unknown #50,Valmar,55,52000,0,900,459,110,30,336,288,0,15,0,0,2,0,0,5,0,251,50,150,360,0,500,60,200,121,True,0,0,0,0,0,,,0,0,0,1,0,100,0,0,0,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Right Head,0,4,Unknown #52,Valmar,55,40000,520,460,410,162,30,359,288,0,15,0,0,2,0,0,5,0,255,50,150,360,0,600,60,200,85,True,0,0,0,0,0,,,0,0,0,1,10,15,0,5,70,0,0,10,15,5,70,0,20,15,35,30,0,0,20,10,25,15,30,0,0,0,0,0,0
Left Head,0,4,Unknown #51,Valmar,55,45000,520,460,392,214,30,329,288,0,15,0,0,2,0,0,5,0,249,50,150,360,0,500,60,200,85,True,0,0,0,0,0,,,0,0,0,1,0,15,25,10,50,0,10,40,5,20,25,0,10,25,30,20,15,0,10,20,30,15,25,0,0,0,0,0,0
Valmar Core,8,3,Unknown #49,Valmar,55,65000,0,1200,438,288,30,354,288,0,15,0,0,2,0,0,5,0,255,50,120,480,0,500,160,200,85,True,0,0,0,0,0,,,0,0,0,1,20,30,40,10,0,0,10,30,40,20,0,0,20,30,50,0,0,0,0,35,15,0,50,0,0,0,0,0,0
Zera Valmar,9,3,Unknown #54,Valmar,56,99999,5000,0,237,500,40,156,288,5,20,0,0,0,0,0,0,0,255,30,150,420,0,500,90,200,85,True,0,0,0,0,0,,,0,0,0,1,20,15,25,40,0,8,5,10,30,15,40,10,40,25,5,10,20,15,30,20,20,20,10,0,0,0,0,0,0
